name,symbol
3i Infrastructure plc,3IN
AA plc,AA.
Aberdeen Asset Management,ADN
Aberforth Smaller Companies Trust,ASL
Acacia Mining plc,ACA
Aggreko plc,AGK
Aldermore Group plc,ALD
Alliance Trust plc,ATST
Allied Minds plc,ALM
Amec Foster Wheeler plc,AMFW
AO World plc,AO.
Ascential Group Ltd,ASCL
Ashmore Group plc,ASHM
Assura plc,AGR
Atkins (WS) plc,ATK
Auto Trader Group plc,AUTO
AVEVA Group plc,AVV
B&M European Value Retail SA,BME
Balfour Beatty plc,BBY
Bankers Investment Trust plc,BNKR
Barr (A.G.),BAG
BBA Aviation plc,BBA
Beazley plc,BEZ
Bellway plc,BWY
Berendsen plc,BRSN
Berkeley Group Holdings plc,BKG
BGEO Group plc,BGEO
BH Macro Ltd (GBP),BHMG
Big Yellow Group,BYG
Bodycote plc,BOY
Booker Group plc,BOK
Bovis Homes Group plc,BVS
Brewin Dolphin Holdings plc,BRW
British Empire Trust plc,BTEM
Britvic plc,BVIC
Brown (N) Group plc,BWNG
BTG plc,BTG
Cairn Energy plc,CNE
Caledonia Investments plc,CLDN
Capital & Counties Properties plc,CAPC
Card Factory plc,CARD
Carillion plc,CLLN
Centamin plc,CEY
Cineworld Group plc,CINE
City Of London Investment Trust,CTY
Clarkson plc,CKN
Close Brothers Group plc,CBG
CLS Holdings plc,CLI
CMC Markets Plc,CMCX
Cobham plc,COB
Computacenter plc,CCC
Countryside Properties Plc,CSP
Cranswick plc,CWK
Crest Nicholson Holdings plc,CRST
CYBG plc,CYBG
Daejan Holdings plc,DJAN
Dairy Crest Group plc,DCG
Debenhams plc,DEB
Dechra Pharmaceuticals plc,DPH
Derwent London plc,DLN
Dignity plc,DTY
Diploma plc,DPLM
Domino's Pizza Group plc,DOM
Drax Group plc,DRX
Dunelm Group Plc,DNLM
Edinburgh Investment Trust plc,EDIN
Electra Private Equity plc,ELTA
Electrocomponents plc,ECM
Elementis plc,ELM
Entertainment One Ltd,ETO
Essentra Plc,ESNT
esure Group plc,ESUR
Euromoney Institutional Investors plc,ERM
Evraz plc,EVR
F&C Commercial Property Trust Ltd,FCPT
Ferrexpo plc,FXPO
Fidelity China Special Situations PLC,FCSS
Fidelity European Values plc,FEV
Fidessa Group Plc,FDSA
Finsbury Growth & Income Trust plc,FGT
FirstGroup plc,FGP
Foreign & Colonial Investment Trust plc,FRCL
G4S Plc,GFS
Galliford Try Plc,GFRD
GCP Infrastructure Investments Ltd,GCP
Genesis Emerging Markets Fund Ltd,GSS
Genus plc,GNS
Go Ahead Group,GOG
Grafton Group,GFTU
Grainger Plc,GRI
Great Portland Estates,GPOR
Greencoat UK Wind plc,UKW
Greencore Group plc,GNC
Greene King,GNK
Greggs Plc,GRG
GVC Holdings plc,GVC
Halfords,HFD
Halma plc,HLMA
Hansteen Holdings,HSTN
Harbourvest Global Private Equity,HVPE
Hastings Group Holdings plc,HSTG
Hays plc,HAS
Henderson Group plc,HGG
HICL Infrastructure Company Ltd,HICL
Hill & Smith Holdings plc.,HILS
Hiscox Ltd,HSX
Hochschild Mining Plc,HOC
Homeserve plc,HSV
Howden Joinery Group Plc,HWDN
Hunting plc,HTG
Ibstock plc,IBST
IG Group Holdings Plc,IGG
IMI plc,IMI
Inchcape plc,INCH
Indivior plc,INDV
Inmarsat Plc,ISAT
Intermediate Capital Group plc,ICP
International Personal Finance Plc,IPF
International Public Partnerships Limited,INPP
Investec Plc,INVP
IP Group Plc,IPO
IWG plc,IWG
J D Wetherspoon plc,JDW
James Fisher & Sons plc,FSJ
Jardine Lloyd Thompson Group plc,JLT
JD Sports Fashion plc,JD.
John Laing Group plc,JLG
John Laing Infrastructure Fund Ltd,JLIF
JPMorgan American Investment Trust plc,JAM
JPMorgan Emerging Markets IT plc,JMG
JPMorgan Indian Investment Trust,JII
JRP Group plc,JRP
Jupiter Fund Management PLC,JUP
Just Eat plc,JE.
KAZ Minerals plc,KAZ
Keller Group,KLR
Kennedy Wilson Europe Real Estate plc,KWE
Kier Group plc,KIE
Ladbrokes Coral Group plc,LCL
Lancashire Holdings,LRE
LondonMetric Property plc,LMP
Man Group,EMG
Marshalls Plc,MSLH
Marstons plc,MARS
McCarthy & Stone plc,MCS
Meggitt,MGGT
Mercantile Investment Trust Plc,MRC
Metro Bank plc,MTRO
Millennium & Copthorne Hotels plc,MLC
Mitchells & Butlers Plc,MAB
Mitie Group,MTO
Moneysupermarket.Com,MONY
Monks Investment Trust,MNKS
Morgan Advanced Materials plc,MGAM
Murray International Trust plc,MYI
National Express,NEX
NB Global Floating Rate Income Fund Ltd,NBLS
NewRiver REIT plc,NRR
NEX Group Plc,NXG
NMC Health Plc,NMC
Nostrum Oil & Gas plc,NOG
Ocado Group plc,OCDO
OneSavings Bank plc,OSB
P2P Global Investments plc,P2P
PageGroup plc,PAGE
Paragon Group of Companies plc,PAG
Paypoint Plc,PAY
Paysafe Group plc,PAYS
Pennon Group,PNN
Perpetual Income & Growth Inv Tst,PLI
Personal Assets Trust Limited,PNL
Petra Diamonds Ltd,PDL
Petrofac,PFC
Pets At Home Group PLC,PETS
Phoenix Group Holdings,PHNX
Playtech plc,PTEC
Polar Capital Technology Trust plc,PCT
Polymetal International plc,POLY
Polypipe Group plc,PLP
PZ Cussons Plc,PZC
QinetiQ Group plc,QQ.
Rank Group,RNK
Rathbone Brothers plc,RAT
Redefine International plc,RDI
Redrow plc,RDW
Renishaw plc,RSW
Rentokil Initial Plc,RTO
Restaurant Group,RTN
Rightmove plc,RMV
RIT Capital Partners plc,RCP
Riverstone Energy Ltd,RSE
Rotork plc,ROR
RPC Group plc,RPC
Safestore Holdings,SAFE
Saga plc,SAGA
Savills plc,SVS
Scottish Investment Trust plc,SCIN
Scottish Mortgage Investment Trust,SMT
Segro Plc,SGRO
Senior plc,SNR
Serco Group plc,SRP
Shaftesbury,SHB
Shawbrook Group plc,SHAW
Sig plc,SHI
Smith (DS),SMDS
Softcat plc,SCT
Sophos Group plc,SOPH
Spectris plc,SXS
Spirax-Sarco Engineering plc,SPX
Spire Healthcare Group plc,SPI
Sports Direct Intl Plc,SPD
SSP Group plc,SSPG
St Modwen Properties plc,SMP
Stagecoach Group plc,SGC
Supergroup,SGP
SVG Capital Plc,SVI
Synthomer plc,SYNT
Talktalk Telecom Group Plc,TALK
Tate & Lyle plc,TATE
Ted Baker,TED
Telecom Plus plc,TEP
Temple Bar Investment Trust plc,TMPL
Templeton Emerging Markets Inv Tst plc,TEM
The Renewables Infrastructure Group Limited,TRIG
Thomas Cook Group plc,TCG
TP ICAP plc,TCAP
TR Property Investment Trust plc,TRY
Travis Perkins plc,TPK
Tritax Big Box REIT plc,BBOX
Tullow Oil plc,TLW
UBM Plc,UBM
UDG Healthcare plc,UDG
UK Commercial Property Trust,UKCM
Ultra Electronics Holdings,ULE
Unite Group,UTG
Vectura Group,VEC
Vedanta Resources Plc,VED
Vesuvius plc,VSVS
Victrex,VCT
Virgin Money Holdings (UK) plc,VM.
Weir Group plc,WEIR
WH Smith Plc,SMWH
William Hill plc,WMH
Witan Investment Trust,WTAN
Wizz Air Holdings plc,WIZZ
Wood Group (John) Plc,WG.
Woodford Patient Capital Trust PLC,WPCT
Workspace Group Plc,WKP
Worldwide Healthcare Trust plc,WWH
Zoopla Property Group plc,ZPLA
